1	 New Jersey	8,899,339	7,354	1,210.1	MdAtl
2	 Rhode Island	1,051,511	1,034	1,017.1	NEng
3	 Massachusetts	6,692,824	7,800	858.0	NEng
4	 Connecticut	3,596,080	4,842	742.6	NEng
5	 Maryland	5,928,814	9,707	610.8	SAtl
6	 Delaware	925,749	1,949	475.1	SAtl
7	 New York	19,651,127	47,126	417.0	MdAtl
8	 Florida	19,552,860	53,625	364.6	SAtl
9	 Pennsylvania	12,773,801	44,743	285.5	MdAtl
10	 Ohio	11,570,808	40,861	283.2	ENC
11	 California	38,332,521	155,779	246.1	Pac
12	 Illinois	12,882,135	55,519	232.0	ENC
13	 Hawaii	1,404,054	6,423	218.6	Pac
14	 Virginia	8,260,405	39,490	209.2	SAtl
15	 North Carolina	9,848,060	48,618	202.6	SAtl
16	 Indiana	6,570,902	35,826	183.4	ENC
17	 Michigan	9,895,622	56,539	175.0	ENC
18	 Georgia	9,992,167	57,513	173.7	SAtl
19	 South Carolina	4,774,839	30,061	158.8	SAtl
20	 Tennessee	6,495,978	41,235	157.5	ESC
21	 New Hampshire	1,323,459	8,953	147.8	NEng
22	 Kentucky	4,395,295	39,486	111.3	ESC
23	 Louisiana	4,625,470	43,204	107.1	WSC
24	 Wisconsin	5,742,713	54,158	106.0	ENC
25	 Washington	6,971,406	66,456	104.9	Pac
26	 Texas	26,448,193	261,232	101.2	WSC
27	 Alabama	4,833,722	50,645	95.4	ESC
28	 Missouri	6,044,171	68,742	87.9	WNC
29	 West Virginia	1,854,304	24,038	77.1	SAtl
30	 Minnesota	5,420,380	79,627	68.1	WNC
31	 Vermont	626,630	9,217	68.0	NEng
32	 Mississippi	2,991,207	46,923	63.7	ESC
33	 Arizona	6,626,624	113,594	58.3	Mtn
34	 Arkansas	2,959,373	52,035	56.9	WSC
35	 Oklahoma	3,850,568	68,595	56.1	WSC
36	 Iowa	3,090,416	55,857	55.3	WNC
37	 Colorado	5,268,367	103,642	50.8	Mtn
38	 Maine	1,328,302	30,843	43.1	NEng
39	 Oregon	3,930,065	95,988	40.9	Pac
40	 Kansas	2,893,957	81,759	35.4	WNC
41	 Utah	2,900,872	82,170	35.3	Mtn
42	 Nevada	2,790,136	109,781	25.4	Mtn
43	 Nebraska	1,868,516	76,824	24.3	WNC
44	 Idaho	1,612,136	82,643	19.5	Mtn
45	 New Mexico	2,085,287	121,298	17.2	Mtn
46	 South Dakota	844,877	75,811	11.1	WNC
47	 North Dakota	723,393	69,001	10.5	WNC
48	 Montana	1,015,165	145,546	7.0	Mtn
49	 Wyoming	582,658	97,093	6.0	Mtn
50	 Alaska	735,132	570,641	1.3	Pac
